problem_id,terminal_stage,exact_exclusion_reason
math500_032,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_033,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_034,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_035,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_036,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_037,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_038,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_039,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_040,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_041,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_042,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_043,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_044,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_045,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_046,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_047,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_048,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_049,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_050,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_051,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_052,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_055,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_056,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_057,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_058,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_059,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_060,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_061,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_062,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_063,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_064,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_065,PERTURBATION_INELIGIBLE,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_066,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_067,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_068,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_069,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_070,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_071,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_072,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_073,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_074,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_075,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_076,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_077,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_078,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_079,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_081,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_082,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_083,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_084,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_085,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_086,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_088,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_089,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_090,PERTURBATION_INELIGIBLE,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_091,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_092,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_093,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_094,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_095,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_096,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_097,PERTURBATION_INELIGIBLE,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_098,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_099,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_100,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_101,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_102,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_103,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_104,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_105,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_106,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_107,PERTURBATION_INELIGIBLE,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_108,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_109,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_111,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_112,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_113,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_114,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_116,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_117,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_118,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_119,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_120,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_121,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_124,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_125,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_126,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_127,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_128,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_129,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_130,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_131,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_132,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_133,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_134,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_135,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_136,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_137,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_138,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_139,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_140,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_141,PERTURBATION_INELIGIBLE,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_142,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_143,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_144,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_145,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_146,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_147,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_148,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_149,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_150,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_151,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_152,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_153,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_154,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_156,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_157,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_158,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_159,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_160,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_161,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_162,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_163,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_164,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_165,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_166,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_167,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_168,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_169,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_170,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_171,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_172,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_173,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_174,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_175,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_176,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_177,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_178,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_179,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_180,PERTURBATION_INELIGIBLE,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_181,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_182,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_184,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_185,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_186,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_187,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_188,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_189,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_190,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_191,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_192,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_194,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_195,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_197,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_198,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_199,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_200,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_201,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_202,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_203,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_204,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_205,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_206,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_207,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_208,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_209,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_210,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_211,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_212,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_213,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_214,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_215,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_216,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_217,PERTURBATION_INELIGIBLE,Solution consists entirely of conceptual prose without numeric equations or equality assertions.
math500_218,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_219,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_220,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_221,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_222,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_223,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_224,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_225,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_228,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_229,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_230,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_231,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_232,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_233,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_234,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_235,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_236,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_237,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_238,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_239,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_240,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_241,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_242,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_243,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_244,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_245,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_246,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_247,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_248,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_249,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_250,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_251,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_252,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_253,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_254,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_255,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_256,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_257,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_258,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_259,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_260,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_261,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_262,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_263,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_264,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_265,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_266,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_267,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_269,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_270,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_271,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_272,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_273,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
math500_274,FINAL_REGISTERED,"Successfully passed solution segmentation, perturbation eligibility, and Control/Recovery pair construction."
math500_275,PAIR_CONSTRUCTION_FAILURE,Target step contains variable assignment without modifiable numerical constant or sign parameter.
