math500_id,training_dataset,training_item_id,classification,jaccard_3gram,numeric_variant,justification
math500_030,DeepScaleR,ds_37590,POSSIBLE_RELATED,0.6923,NO,Moderate semantic/structural overlap (Jaccard=0.233) with DeepScaleR item ds_37590.
math500_031,DeepScaleR,ds_24525,STRUCTURAL_NUMERIC_VARIANT,0.9500,YES,Identical mathematical structure with modified numerical parameters in DeepScaleR item ds_24525.
math500_032,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_033,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_034,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_035,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_036,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_037,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_038,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_039,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_040,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_041,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_042,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_043,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_044,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_045,DeepScaleR,ds_35861,POSSIBLE_RELATED,0.7895,NO,Moderate semantic/structural overlap (Jaccard=0.520) with DeepScaleR item ds_35861.
math500_046,DeepScaleR,ds_17660,POSSIBLE_RELATED,0.8636,NO,Moderate semantic/structural overlap (Jaccard=0.714) with DeepScaleR item ds_17660.
math500_047,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_048,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_049,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_050,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_051,DeepScaleR,ds_37357,POSSIBLE_RELATED,0.7692,NO,Moderate semantic/structural overlap (Jaccard=0.565) with DeepScaleR item ds_37357.
math500_052,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_053,DeepScaleR,ds_39759,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9000,NO,"High token n-gram similarity (Jaccard=0.643, EditRatio=0.900) with DeepScaleR item ds_39759."
math500_054,DeepScaleR,ds_38629,STRUCTURAL_NUMERIC_VARIANT,0.9500,YES,Identical mathematical structure with modified numerical parameters in DeepScaleR item ds_38629.
math500_055,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_056,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_057,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_058,DeepScaleR,ds_16817,POSSIBLE_RELATED,0.8000,NO,Moderate semantic/structural overlap (Jaccard=0.176) with DeepScaleR item ds_16817.
math500_059,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_060,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_061,DeepScaleR,ds_37529,POSSIBLE_RELATED,0.7879,NO,Moderate semantic/structural overlap (Jaccard=0.541) with DeepScaleR item ds_37529.
math500_062,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_063,DeepScaleR,ds_37176,POSSIBLE_RELATED,0.7941,NO,Moderate semantic/structural overlap (Jaccard=0.632) with DeepScaleR item ds_37176.
math500_064,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_065,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_066,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_067,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_068,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_069,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_070,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_071,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_072,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_073,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_074,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_075,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_076,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_077,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_078,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_079,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_080,DeepScaleR,ds_07202,EXACT_DUPLICATE,1.0000,NO,Exact normalized SHA-256 match with DeepScaleR item ds_07202.
math500_081,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_082,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_083,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_084,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_085,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_086,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_087,DeepScaleR,ds_33552,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9000,NO,"High token n-gram similarity (Jaccard=0.400, EditRatio=0.900) with DeepScaleR item ds_33552."
math500_088,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_089,DeepScaleR,ds_37838,POSSIBLE_RELATED,0.7000,NO,Moderate semantic/structural overlap (Jaccard=0.208) with DeepScaleR item ds_37838.
math500_090,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_091,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_092,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_093,DeepScaleR,ds_34401,POSSIBLE_RELATED,0.8750,NO,Moderate semantic/structural overlap (Jaccard=0.619) with DeepScaleR item ds_34401.
math500_094,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_095,DeepScaleR,ds_39938,POSSIBLE_RELATED,0.7059,NO,Moderate semantic/structural overlap (Jaccard=0.433) with DeepScaleR item ds_39938.
math500_096,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_097,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_098,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_099,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_100,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_101,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_102,DeepScaleR,ds_34186,POSSIBLE_RELATED,0.7500,NO,Moderate semantic/structural overlap (Jaccard=0.091) with DeepScaleR item ds_34186.
math500_103,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_104,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_105,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_106,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_107,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_108,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_109,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_110,DeepScaleR,ds_07160,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9714,NO,"High token n-gram similarity (Jaccard=0.920, EditRatio=0.971) with DeepScaleR item ds_07160."
math500_111,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_112,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_113,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_114,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_115,DeepScaleR,ds_10837,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9000,NO,"High token n-gram similarity (Jaccard=0.714, EditRatio=0.900) with DeepScaleR item ds_10837."
math500_116,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_117,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_118,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_119,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_120,DeepScaleR,ds_36351,POSSIBLE_RELATED,0.7308,NO,Moderate semantic/structural overlap (Jaccard=0.731) with DeepScaleR item ds_36351.
math500_121,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_122,DeepScaleR,ds_33823,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.8947,NO,"High token n-gram similarity (Jaccard=0.575, EditRatio=0.895) with DeepScaleR item ds_33823."
math500_123,DeepScaleR,ds_35589,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9623,NO,"High token n-gram similarity (Jaccard=0.955, EditRatio=0.962) with DeepScaleR item ds_35589."
math500_124,DeepScaleR,ds_33652,POSSIBLE_RELATED,0.7647,NO,Moderate semantic/structural overlap (Jaccard=0.255) with DeepScaleR item ds_33652.
math500_125,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_126,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_127,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_128,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_129,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_130,DeepScaleR,ds_37713,POSSIBLE_RELATED,0.6667,NO,Moderate semantic/structural overlap (Jaccard=0.390) with DeepScaleR item ds_37713.
math500_131,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_132,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_133,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_134,DeepScaleR,ds_37095,POSSIBLE_RELATED,0.6458,NO,Moderate semantic/structural overlap (Jaccard=0.600) with DeepScaleR item ds_37095.
math500_135,DeepScaleR,ds_38411,POSSIBLE_RELATED,0.7667,NO,Moderate semantic/structural overlap (Jaccard=0.613) with DeepScaleR item ds_38411.
math500_136,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_137,DeepScaleR,ds_24712,POSSIBLE_RELATED,0.6667,NO,Moderate semantic/structural overlap (Jaccard=0.158) with DeepScaleR item ds_24712.
math500_138,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_139,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_140,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_141,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_142,DeepScaleR,ds_35242,POSSIBLE_RELATED,0.7000,NO,Moderate semantic/structural overlap (Jaccard=0.324) with DeepScaleR item ds_35242.
math500_143,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_144,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_145,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_146,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_147,DeepScaleR,ds_37053,POSSIBLE_RELATED,0.8333,NO,Moderate semantic/structural overlap (Jaccard=0.589) with DeepScaleR item ds_37053.
math500_148,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_149,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_150,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_151,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_152,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_153,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_154,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_155,DeepScaleR,ds_34990,STRUCTURAL_NUMERIC_VARIANT,0.9500,YES,Identical mathematical structure with modified numerical parameters in DeepScaleR item ds_34990.
math500_156,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_157,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_158,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_159,DeepScaleR,ds_11669,POSSIBLE_RELATED,0.7391,NO,Moderate semantic/structural overlap (Jaccard=0.603) with DeepScaleR item ds_11669.
math500_160,DeepScaleR,ds_33641,POSSIBLE_RELATED,0.7143,NO,Moderate semantic/structural overlap (Jaccard=0.296) with DeepScaleR item ds_33641.
math500_161,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_162,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_163,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_164,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_165,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_166,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_167,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_168,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_169,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_170,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_171,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_172,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_173,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_174,DeepScaleR,ds_33830,POSSIBLE_RELATED,0.7500,NO,Moderate semantic/structural overlap (Jaccard=0.500) with DeepScaleR item ds_33830.
math500_175,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_176,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_177,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_178,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_179,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_180,DeepScaleR,ds_39186,POSSIBLE_RELATED,0.6667,NO,Moderate semantic/structural overlap (Jaccard=0.300) with DeepScaleR item ds_39186.
math500_181,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_182,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_183,DeepScaleR,ds_33804,STRUCTURAL_NUMERIC_VARIANT,0.9500,YES,Identical mathematical structure with modified numerical parameters in DeepScaleR item ds_33804.
math500_184,DeepScaleR,ds_37309,POSSIBLE_RELATED,0.6842,NO,Moderate semantic/structural overlap (Jaccard=0.684) with DeepScaleR item ds_37309.
math500_185,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_186,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_187,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_188,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_189,DeepScaleR,ds_36251,POSSIBLE_RELATED,0.7883,NO,Moderate semantic/structural overlap (Jaccard=0.774) with DeepScaleR item ds_36251.
math500_190,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_191,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_192,DeepScaleR,ds_36276,POSSIBLE_RELATED,0.7143,NO,Moderate semantic/structural overlap (Jaccard=0.490) with DeepScaleR item ds_36276.
math500_193,DeepScaleR,ds_37520,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9259,NO,"High token n-gram similarity (Jaccard=0.760, EditRatio=0.926) with DeepScaleR item ds_37520."
math500_194,DeepScaleR,ds_37118,POSSIBLE_RELATED,0.7647,NO,Moderate semantic/structural overlap (Jaccard=0.444) with DeepScaleR item ds_37118.
math500_195,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_196,DeepScaleR,ds_33489,STRUCTURAL_NUMERIC_VARIANT,0.9500,YES,Identical mathematical structure with modified numerical parameters in DeepScaleR item ds_33489.
math500_197,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_198,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_199,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_200,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_201,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_202,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_203,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_204,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_205,DeepScaleR,ds_40259,POSSIBLE_RELATED,0.6923,NO,Moderate semantic/structural overlap (Jaccard=0.463) with DeepScaleR item ds_40259.
math500_206,DeepScaleR,ds_40048,POSSIBLE_RELATED,0.8000,NO,Moderate semantic/structural overlap (Jaccard=0.500) with DeepScaleR item ds_40048.
math500_207,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_208,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_209,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_210,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_211,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_212,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_213,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_214,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_215,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_216,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_217,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_218,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_219,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_220,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_221,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_222,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_223,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_224,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_225,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_226,DeepScaleR,ds_19501,STRUCTURAL_NUMERIC_VARIANT,0.9500,YES,Identical mathematical structure with modified numerical parameters in DeepScaleR item ds_19501.
math500_227,DeepScaleR,ds_39877,NEAR_DUPLICATE_HIGH_CONFIDENCE,0.9091,NO,"High token n-gram similarity (Jaccard=0.667, EditRatio=0.909) with DeepScaleR item ds_39877."
math500_228,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_229,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_230,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_231,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_232,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_233,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_234,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_235,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_236,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_237,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_238,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_239,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_240,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_241,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_242,DeepScaleR,ds_34291,POSSIBLE_RELATED,0.7750,NO,Moderate semantic/structural overlap (Jaccard=0.447) with DeepScaleR item ds_34291.
math500_243,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_244,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_245,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_246,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
math500_247,None,None,NO_MEANINGFUL_MATCH,0.0000,NO,No significant textual or structural overlap detected.
