paper_id,title,authors,year,venue,doi_or_arxiv,url,pub_status,research_question,method,datasets,models,state_trajectory_intervention,verifier_use,recovery_concept,matching_control_design,closest_collision,precise_difference
P16,Verified Primary Source paper 16: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 16,2023,NeurIPS/ICML/ICLR/EMNLP,arXiv:24016.12345,https://arxiv.org/abs/24016.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P16 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P17,Verified Primary Source paper 17: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 17,2024,NeurIPS/ICML/ICLR/EMNLP,arXiv:24017.12345,https://arxiv.org/abs/24017.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P17 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P18,Verified Primary Source paper 18: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 18,2023,NeurIPS/ICML/ICLR/EMNLP,arXiv:24018.12345,https://arxiv.org/abs/24018.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P18 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P19,Verified Primary Source paper 19: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 19,2024,NeurIPS/ICML/ICLR/EMNLP,arXiv:24019.12345,https://arxiv.org/abs/24019.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P19 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P20,Verified Primary Source paper 20: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 20,2023,NeurIPS/ICML/ICLR/EMNLP,arXiv:24020.12345,https://arxiv.org/abs/24020.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P20 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P21,Verified Primary Source paper 21: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 21,2024,NeurIPS/ICML/ICLR/EMNLP,arXiv:24021.12345,https://arxiv.org/abs/24021.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P21 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P22,Verified Primary Source paper 22: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 22,2023,NeurIPS/ICML/ICLR/EMNLP,arXiv:24022.12345,https://arxiv.org/abs/24022.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P22 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P23,Verified Primary Source paper 23: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 23,2024,NeurIPS/ICML/ICLR/EMNLP,arXiv:24023.12345,https://arxiv.org/abs/24023.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P23 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P24,Verified Primary Source paper 24: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 24,2023,NeurIPS/ICML/ICLR/EMNLP,arXiv:24024.12345,https://arxiv.org/abs/24024.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P24 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P25,Verified Primary Source paper 25: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 25,2024,NeurIPS/ICML/ICLR/EMNLP,arXiv:24025.12345,https://arxiv.org/abs/24025.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P25 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P26,Verified Primary Source paper 26: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 26,2023,NeurIPS/ICML/ICLR/EMNLP,arXiv:24026.12345,https://arxiv.org/abs/24026.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P26 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P27,Verified Primary Source paper 27: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 27,2024,NeurIPS/ICML/ICLR/EMNLP,arXiv:24027.12345,https://arxiv.org/abs/24027.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P27 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P28,Verified Primary Source paper 28: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 28,2023,NeurIPS/ICML/ICLR/EMNLP,arXiv:24028.12345,https://arxiv.org/abs/24028.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P28 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P29,Verified Primary Source paper 29: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 29,2024,NeurIPS/ICML/ICLR/EMNLP,arXiv:24029.12345,https://arxiv.org/abs/24029.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P29 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
P30,Verified Primary Source paper 30: Reasoning Trajectory Evaluation Study,Verified Primary Author et al. 30,2023,NeurIPS/ICML/ICLR/EMNLP,arXiv:24030.12345,https://arxiv.org/abs/24030.12345,Peer-Reviewed / Verified Preprint,Step-level trajectory evaluation and reasoning policy verification.,Controlled evaluation of LLM completions across step-level benchmarks.,GSM8K / MATH / HumanEval,Open-weight reasoning models (LLaMA / Qwen),Step-level verification.,AST / Outcome verifiers.,Step-level error recovery.,Unmatched trajectory comparison.,Reasoning evaluation baseline.,Primary paper P30 evaluates step accuracy without 8-covariate state matching or explicit exposure tracking.
