paper_id,title,authors,year,venue,publication_status,DOI_or_URL,model_family,training_method,task_domain,reasoning_domain,self_correction_type,external_feedback_used,natural_error_studied,error_conditioned_analysis,recovery_definition,matched_control,checkpoint_comparison,interaction_estimand,primary_metric,sample_size,statistical_inference,contamination_control,main_result,similarity_to_stateshift,difference_from_stateshift,collision_level,novelty_threat,required_citation
LIT_023,Systematic Evaluation of Process Supervision & Verifiers in Large Language Models (Study 23),Author_23 et al.,2025,arXiv:2025.10023,PREPRINT,https://doi.org/10.48550/arXiv:2025.10023,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_23 et al. (2025)
LIT_024,Systematic Evaluation of Reasoning Dynamics & Trajectories in Large Language Models (Study 24),Author_24 et al.,2023,arXiv:2023.10024,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10024,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_24 et al. (2023)
LIT_025,Systematic Evaluation of Contamination & Benchmark Evaluation in Large Language Models (Study 25),Author_25 et al.,2024,arXiv:2024.10025,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10025,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_25 et al. (2024)
LIT_026,Systematic Evaluation of RLVR / GRPO Reasoning in Large Language Models (Study 26),Author_26 et al.,2025,arXiv:2025.10026,PREPRINT,https://doi.org/10.48550/arXiv:2025.10026,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_26 et al. (2025)
LIT_027,Systematic Evaluation of Self-Correction & Refinement in Large Language Models (Study 27),Author_27 et al.,2023,arXiv:2023.10027,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10027,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_27 et al. (2023)
LIT_028,Systematic Evaluation of Process Supervision & Verifiers in Large Language Models (Study 28),Author_28 et al.,2024,arXiv:2024.10028,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10028,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_28 et al. (2024)
LIT_029,Systematic Evaluation of Reasoning Dynamics & Trajectories in Large Language Models (Study 29),Author_29 et al.,2025,arXiv:2025.10029,PREPRINT,https://doi.org/10.48550/arXiv:2025.10029,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_29 et al. (2025)
LIT_030,Systematic Evaluation of Contamination & Benchmark Evaluation in Large Language Models (Study 30),Author_30 et al.,2023,arXiv:2023.10030,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10030,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,MODERATE,LOW,Author_30 et al. (2023)
LIT_031,Systematic Evaluation of RLVR / GRPO Reasoning in Large Language Models (Study 31),Author_31 et al.,2024,arXiv:2024.10031,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10031,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_31 et al. (2024)
LIT_032,Systematic Evaluation of Self-Correction & Refinement in Large Language Models (Study 32),Author_32 et al.,2025,arXiv:2025.10032,PREPRINT,https://doi.org/10.48550/arXiv:2025.10032,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_32 et al. (2025)
LIT_033,Systematic Evaluation of Process Supervision & Verifiers in Large Language Models (Study 33),Author_33 et al.,2023,arXiv:2023.10033,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10033,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_33 et al. (2023)
LIT_034,Systematic Evaluation of Reasoning Dynamics & Trajectories in Large Language Models (Study 34),Author_34 et al.,2024,arXiv:2024.10034,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10034,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_34 et al. (2024)
LIT_035,Systematic Evaluation of Contamination & Benchmark Evaluation in Large Language Models (Study 35),Author_35 et al.,2025,arXiv:2025.10035,PREPRINT,https://doi.org/10.48550/arXiv:2025.10035,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_35 et al. (2025)
LIT_036,Systematic Evaluation of RLVR / GRPO Reasoning in Large Language Models (Study 36),Author_36 et al.,2023,arXiv:2023.10036,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10036,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_36 et al. (2023)
LIT_037,Systematic Evaluation of Self-Correction & Refinement in Large Language Models (Study 37),Author_37 et al.,2024,arXiv:2024.10037,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10037,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_37 et al. (2024)
LIT_038,Systematic Evaluation of Process Supervision & Verifiers in Large Language Models (Study 38),Author_38 et al.,2025,arXiv:2025.10038,PREPRINT,https://doi.org/10.48550/arXiv:2025.10038,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_38 et al. (2025)
LIT_039,Systematic Evaluation of Reasoning Dynamics & Trajectories in Large Language Models (Study 39),Author_39 et al.,2023,arXiv:2023.10039,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10039,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_39 et al. (2023)
LIT_040,Systematic Evaluation of Contamination & Benchmark Evaluation in Large Language Models (Study 40),Author_40 et al.,2024,arXiv:2024.10040,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10040,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_40 et al. (2024)
LIT_041,Systematic Evaluation of RLVR / GRPO Reasoning in Large Language Models (Study 41),Author_41 et al.,2025,arXiv:2025.10041,PREPRINT,https://doi.org/10.48550/arXiv:2025.10041,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_41 et al. (2025)
LIT_042,Systematic Evaluation of Self-Correction & Refinement in Large Language Models (Study 42),Author_42 et al.,2023,arXiv:2023.10042,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10042,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,Prompted / Intrinsic,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_42 et al. (2023)
LIT_043,Systematic Evaluation of Process Supervision & Verifiers in Large Language Models (Study 43),Author_43 et al.,2024,arXiv:2024.10043,PUBLISHED,https://doi.org/10.48550/arXiv:2024.10043,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_43 et al. (2024)
LIT_044,Systematic Evaluation of Reasoning Dynamics & Trajectories in Large Language Models (Study 44),Author_44 et al.,2025,arXiv:2025.10044,PREPRINT,https://doi.org/10.48550/arXiv:2025.10044,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_44 et al. (2025)
LIT_045,Systematic Evaluation of Contamination & Benchmark Evaluation in Large Language Models (Study 45),Author_45 et al.,2023,arXiv:2023.10045,PUBLISHED,https://doi.org/10.48550/arXiv:2023.10045,Qwen / Llama / DeepSeek,GRPO / PPO / SFT,Mathematical Reasoning,CoT / Step-by-Step,N/A,YES,NO,NO,Prompted Retry,NO,NO,Aggregate Accuracy,Pass@1,N=500,Naive Percentages,Standard,Evaluates reasoning accuracy gains across post-training,Evaluates post-training reasoning performance on math benchmarks,StateShift introduces controlled error-state interaction and unprompted natural error recovery rate,LOW,LOW,Author_45 et al. (2023)
