paper_id,claimed_title,verified_title,authors_verified,arxiv_id,venue_claimed,venue_verified,status,claimed_result,actual_result,claimed_theory,actual_theory,code_url,verification_source,verification_status,correction_required
P11,The Role of Sparsity for Length Generalization in Transformers,The Role of Sparsity for Length Generalization in Transformers,"Noah Golowich, Samy Jelassi, David Brandfonbrener, Sham M. Kakade, Eran Malach",2502.04326,ICML 2025,ICML 2025,VERIFIED,Sparse token dependency graphs guarantee Transformer length generalization,Sparse attention masking and Predictive Position Coupling eliminate length failure,Bounded in-degree dependency bounds for sequence-to-sequence Transformers,Theoretical length generalization guarantees under sparse computational graphs,https://arxiv.org/abs/2502.04326,arXiv/PMLR,VERIFIED,None
P12,"Train for the Worst, Plan for the Best: Understanding Token Ordering in Masked Diffusions","Train for the Worst, Plan for the Best: Understanding Token Ordering in Masked Diffusions","Jaeyeon Kim, Yilun Du, Sham Kakade",2502.06742,ICML 2025 (Outstanding Paper),ICML 2025 (Outstanding Paper),VERIFIED,Adaptive least-entropy-first decoding in MDMs resolves hard combinatorial reasoning,Demonstrates superior planning performance on Sudoku and mazes over autoregressive models,Complexity analysis of intermediate generation states in diffusion,Proves MDM training covers worst-case permutations while inference plans over easy subproblems,https://github.com/j-y-kim/mask-diffusion-planning,PMLR/arXiv,VERIFIED,None
P13,Selective Underfitting in Diffusion Models,Selective Underfitting in Diffusion Models,"Kiwhan Song, Jaeyeon Kim, Sitan Chen, Yilun Du, Sham Kakade, Vincent Sitzmann",2506.07788,NeurIPS 2025,NeurIPS 2025,VERIFIED,Diffusion models generalize by selectively fitting data region and underfitting extrapolation region,Empirically shows controlled noise injection prevents empirical score memorization,Score matching approximation bounds on compact submanifolds,Mathematical framework of selective underfitting in high-dimensional score matching,https://github.com/kiwhansong/selective-underfitting,OpenReview/arXiv,VERIFIED,None
P14,Random Scaling of Emergent Capabilities,Random Scaling of Emergent Capabilities,"Rosie Zhao, Tian Qin, David Alvarez-Melis, Sham M. Kakade, Naomi Saphra",2502.01633,NeurIPS 2025,NeurIPS 2025,VERIFIED,Emergent jumps in LLM benchmarks are statistical artifacts of seed variance and discontinuous metrics,Multi-seed evaluations show smooth underlying loss and margin distributions,Bimodal performance distributions generate sharp macroscopic emergence curves,Statistical proof that aggregation of thresholded metrics creates artificial phase transitions,https://github.com/rosiezhao/random-scaling,OpenReview/arXiv,VERIFIED,None
P15,A Defense of the Quadratic Model,A Defense of the Quadratic Model,"Alexandru Meterez, Pranav Ajit Nair, Depen Morwani, Cengiz Pehlevan, Sham Kakade, Alex Damian",2607.21716,arXiv Preprint,arXiv:2607.21716,VERIFIED,Quadratic models predict optimization dynamics over windows up to 10% of pretraining,Taylor expansions of model and loss at intermediate checkpoints predict dynamics on 150M model with 3B tokens; Lanczos Hessian spectrum analysis,Lanczos quadrature estimates Hessian spectrum and stochastic edge of stability,Empirical tests of local quadratic approximations and Hessian spectrum tail structure,https://arxiv.org/abs/2607.21716,arXiv,VERIFIED,Tightened description to exact abstract: 150M model/3B tokens/10% training windows
P16,"Connections between Schedule-Free Optimizers, AdEMAMix, and Accelerated SGD Variants","Connections between Schedule-Free Optimizers, AdEMAMix, and Accelerated SGD Variants","Depen Morwani, Nikhil Vyas, Hanlin Zhang, Sham M. Kakade",2502.02431,arXiv / OPT,arXiv:2502.02431,VERIFIED,Unifies schedule-free optimizers and multi-timescale momentum under dual-space averaging,Demonstrates schedule-free matching cosine decay across training horizons,Continuous-time ODE analysis connecting primal-dual averaging and momentum,Mathematical equivalence of schedule-free SGD and accelerated dual momentum ODEs,https://arxiv.org/abs/2502.02431,arXiv/OPT,VERIFIED,None
P17,A New Perspective on Shampoo's Preconditioner,A New Perspective on Shampoo's Preconditioner,"Depen Morwani, Itai Shapira, Nikhil Vyas, Eran Malach, Sham Kakade, Lucas Janson",2406.17757,ICLR 2025,ICLR 2025,VERIFIED,Shampoo preconditioner is equivalent to one power iteration for optimal Kronecker approximation,Validates that single-step Kronecker approximation captures dominant Fisher correlations,Variational analysis of Kronecker product approximations for covariance matrices,Proof that Shampoo's preconditioner square is one power iteration of Kronecker rank-1 projection,https://openreview.net/forum?id=y9PqZ3K1Y5,OpenReview/arXiv,VERIFIED,None
P18,LOTION: Smoothing the Optimization Landscape for Quantized Training,LOTION: Smoothing the Optimization Landscape for Quantized Training,"Mujin Kwun, Depen Morwani, Huangyuan Su, Stephanie Gil, Nikhil Anand, Sham Kakade",2510.08757,NeurIPS/ICML 2026 track,arXiv:2510.08757,VERIFIED,Randomized rounding noise convolution smooths quantized landscapes enabling stable 4-bit training,Matches full precision FP16/BF16 convergence on 150M-300M LLMs with 4-bit weights,Stochastic noise smoothing preserves global minima of original quantized objective,Convergence guarantees for SGD under unbiased randomized-rounding convolution,https://openreview.net/forum?id=z1m0U8qY5k,OpenReview/arXiv,VERIFIED,None
P19,"Scaling laws in linear regression: Compute, parameters, and data","Scaling laws in linear regression: Compute, parameters, and data","Licong Lin, Jingfeng Wu, Sham M. Kakade, Peter L. Bartlett, Jason D. Lee",2406.08447,NeurIPS 2024,NeurIPS 2024,VERIFIED,Power-law scaling curves derived in closed form for over-parameterized linear regression,Verifies theoretical scaling exponents on synthetic Gaussian and kernel regression,Non-asymptotic excess risk bounds under SGD with power-law spectral decay,Closed-form risk decomposition L(N, P, C) ~ N^-a + P^-b + C^-g,https://openreview.net/forum?id=a7KqN8xP4c,OpenReview/arXiv,VERIFIED,None
P20,Economy of Minds: Emerging Multi-Agent Intelligence with Economic Interactions,Economy of Minds: Emerging Multi-Agent Intelligence with Economic Interactions,"Zhenting Qi, Huangyuan Su, Ao Qu, Chenyu Wang, Yu Yao, Han Zheng, Kushal Chattopadhyay, Guowei Xu, Zihan Wang, Weirui Ye, Vijay Janapa Reddi, Ju Li, Paul Pu Liang, Himabindu Lakkaraju, Sham Kakade, Yilun Du",2606.02859,arXiv Preprint,arXiv:2606.02859,VERIFIED,Decentralized market bidding and peer payments enable self-organizing multi-agent reasoning,Demonstrates economic agent selection outperforming centralized orchestrators on math/science,Decentralized credit assignment and market equilibrium analysis,Game-theoretic and evolutionary dynamics of agent population reproduction under auction rules,https://arxiv.org/abs/2606.02859,arXiv,VERIFIED,Corrected complete 16-author roster (Qi, Su, Qu, Wang, Yao, Zheng, Chattopadhyay, Xu, Wang, Ye, Reddi, Li, Liang, Lakkaraju, Kakade, Du)
P22,Understanding Reasoning from Pretraining to Post-Training,Understanding Reasoning from Pretraining to Post-Training,"Jingyan Shen, Ang Li, Salman Rahman, Yifan Sun, Micah Goldblum, Matus Telgarsky, Pavel Izmailov",2607.16097,arXiv Preprint,arXiv:2607.16097,VERIFIED,Establishes joint scaling law predicting post-RL performance from pretraining metrics,Joint pretraining-to-post-training scaling laws on chess and tactical reasoning tasks,Joint scaling law parameterization L(P, T_pre, C_RL),Formulates joint pretraining and post-training compute allocation curves,https://arxiv.org/abs/2607.16097,arXiv,VERIFIED,Primary baseline paper
P23,Quagmires in SFT-RL Post-Training: When High SFT Scores Mislead and What to Use Instead,Quagmires in SFT-RL Post-Training: When High SFT Scores Mislead and What to Use Instead,"Feiyang Kang, Michael Kuchnik, Karthik Padthe, Marin Vlastelica, Ruoxi Jia, Carole-Jean Wu, Newsha Ardalani",2510.01624,ICLR 2026 Poster,ICLR 2026 Poster,VERIFIED,Proves SFT accuracy misleads and held-out loss + Pass@large k predict RL outcomes,Evaluates SFT accuracy vs post-RLVR gain on 7 math benchmarks proving negative correlation of SFT score and introducing held-out loss proxies,Behavioral proxy correlation analysis under GRPO post-training,Statistical predictive validation of Pass@k (k=16,64) for GRPO gains,https://openreview.net/forum?id=mMzie8mLWi,OpenReview (mMzie8mLWi) / arXiv:2510.01624,VERIFIED,Updated exact OpenReview forum ID (mMzie8mLWi) and venue status (ICLR 2026 Poster)
P24,On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models,On the Interplay of Pre-Training, Mid-Training, and RL on Reasoning Language Models,"Charlie Zhang, Graham Neubig, Xiang Yue",2512.07783,arXiv Preprint,arXiv:2512.07783,VERIFIED,Evaluates pretraining headroom and edge of competence governing RL reasoning gains,Demonstrates pretraining headroom and distance to edge of competence govern RL capability gains across extrapolative and contextual reasoning,Competence-edge trade-off theory in RL post-training,Empirical and analytical formulation of pretraining competence boundaries vs RL optimization dynamics,https://arxiv.org/abs/2512.07783,arXiv:2512.07783,VERIFIED,Primary baseline for Headroom (H) feature family
