problem_id,step_index,operation_type,eligible_operators,reason_eligible,reason_excluded
math500_005,6,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_005,7,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_005,8,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_006,0,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_006,1,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_006,2,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_006,3,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_007,0,EQUATION_DERIVATION,OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_007,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_007,2,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_007,3,EQUATION_DERIVATION,OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_007,4,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_007,5,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_007,6,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_007,7,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_007,8,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_008,0,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_009,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_009,1,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_009,2,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_009,3,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_010,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_010,1,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_010,2,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_010,3,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_011,0,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_011,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_011,2,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_011,3,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_011,4,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_011,5,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_011,6,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_011,7,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_011,8,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_011,9,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_011,10,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_012,0,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_012,1,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_013,0,EQUATION_DERIVATION,OP_TERM_SWAP,Contains verifiable math expression eligible for OP_TERM_SWAP,N/A
math500_013,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_013,2,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_014,0,EQUATION_DERIVATION,OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_014,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_014,2,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_015,0,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_FRACTION_FLIP",N/A
math500_015,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_015,2,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_015,3,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_015,4,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_016,0,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_018,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_018,1,EQUATION_DERIVATION,OP_TERM_SWAP,Contains verifiable math expression eligible for OP_TERM_SWAP,N/A
math500_018,2,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_018,3,EQUATION_DERIVATION,OP_TERM_SWAP,Contains verifiable math expression eligible for OP_TERM_SWAP,N/A
math500_018,4,EQUATION_DERIVATION,OP_TERM_SWAP,Contains verifiable math expression eligible for OP_TERM_SWAP,N/A
math500_018,5,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_018,6,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB,Contains verifiable math expression eligible for OP_CONSTANT_PERTURB,N/A
math500_018,7,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_019,0,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_019,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_019,2,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_019,3,ALGEBRAIC_SIMPLIFICATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP",N/A
math500_019,4,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_020,0,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_021,0,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_021,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_021,2,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_021,3,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_021,4,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_021,5,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_021,6,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_021,7,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_021,8,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_022,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_022,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_022,2,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_023,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_023,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_023,2,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_023,3,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_023,4,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_023,5,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_023,6,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_023,7,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_024,0,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_024,1,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_025,0,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_025,1,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_025,2,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_025,3,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_025,4,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_025,5,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_025,6,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_025,7,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_025,8,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_025,9,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_025,10,EQUATION_DERIVATION,OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_025,11,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP",N/A
math500_025,12,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_025,13,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_025,14,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_025,15,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_025,16,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_025,17,EQUATION_DERIVATION,OP_TERM_SWAP,Contains verifiable math expression eligible for OP_TERM_SWAP,N/A
math500_025,18,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_SIGN_FLIP|OP_TERM_SWAP|OP_FRACTION_FLIP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_SIGN_FLIP, OP_TERM_SWAP, OP_FRACTION_FLIP",N/A
math500_025,19,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_026,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,1,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,2,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,3,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,4,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,5,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,6,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_026,7,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_026,8,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_026,9,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,10,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,11,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_026,12,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_026,13,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_026,14,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
math500_027,0,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_027,1,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_027,2,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_027,3,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_027,4,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_027,5,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_027,6,EQUATION_DERIVATION,OP_CONSTANT_PERTURB|OP_TERM_SWAP,"Contains verifiable math expression eligible for OP_CONSTANT_PERTURB, OP_TERM_SWAP",N/A
math500_027,7,CONCEPTUAL_PROSE,NONE,N/A,Operation type CONCEPTUAL_PROSE does not contain deterministic numeric/algebraic target transition
math500_027,8,FINAL_ANSWER,NONE,N/A,Operation type FINAL_ANSWER does not contain deterministic numeric/algebraic target transition
