rollout_id,problem_id,rollout_k,error_type,error_step,recovery_status,final_answer_correct
nat_rec_00768,math500_055,15,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_00773,math500_056,4,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00779,math500_056,10,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_00780,math500_056,11,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,RECOVERED,1
nat_rec_00789,math500_057,4,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00791,math500_057,6,ARITHMETIC_MISCALCULATION,Step 1,RECOVERED,1
nat_rec_00794,math500_057,9,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_00795,math500_057,10,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_00796,math500_057,11,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00809,math500_058,8,ARITHMETIC_MISCALCULATION,Step 4,RECOVERED,1
nat_rec_00812,math500_058,11,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00821,math500_059,4,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00829,math500_059,12,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,RECOVERED,1
nat_rec_00833,math500_060,0,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00855,math500_061,6,ARITHMETIC_MISCALCULATION,Step 2,RECOVERED,1
nat_rec_00856,math500_061,7,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_00863,math500_061,14,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,RECOVERED,1
nat_rec_00864,math500_061,15,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_00867,math500_062,2,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,RECOVERED,1
nat_rec_00876,math500_062,11,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_00877,math500_062,12,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00879,math500_062,14,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00885,math500_063,4,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,RECOVERED,1
nat_rec_00886,math500_063,5,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_00895,math500_063,14,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00899,math500_064,2,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00911,math500_064,14,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,RECOVERED,1
nat_rec_00914,math500_065,1,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00915,math500_065,2,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_00922,math500_065,9,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00923,math500_065,10,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_00928,math500_065,15,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_00931,math500_066,2,SELF_DETECTED_REASONING_FLAW,Step 3,RECOVERED,1
nat_rec_00939,math500_066,10,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00940,math500_066,11,ARITHMETIC_MISCALCULATION,Step 4,RECOVERED,1
nat_rec_00944,math500_066,15,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00947,math500_067,2,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_00953,math500_067,8,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_00956,math500_067,11,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_00963,math500_068,2,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_00969,math500_068,8,ARITHMETIC_MISCALCULATION,Step 2,RECOVERED,1
nat_rec_00978,math500_069,1,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00986,math500_069,9,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_00988,math500_069,11,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_00989,math500_069,12,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_00990,math500_069,13,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_00993,math500_070,0,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_01002,math500_070,9,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_01015,math500_071,6,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_01018,math500_071,9,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_01040,math500_072,15,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_01042,math500_073,1,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,RECOVERED,1
nat_rec_01044,math500_073,3,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_01054,math500_073,13,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_01066,math500_074,9,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_01070,math500_074,13,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_01076,math500_075,3,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_01092,math500_076,3,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_01098,math500_076,9,ARITHMETIC_MISCALCULATION,Step 1,RECOVERED,1
nat_rec_01100,math500_076,11,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_01101,math500_076,12,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_01105,math500_077,0,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_01106,math500_077,1,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_01112,math500_077,7,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_01113,math500_077,8,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_01114,math500_077,9,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,RECOVERED,1
nat_rec_01115,math500_077,10,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_01121,math500_078,0,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_01123,math500_078,2,SELF_DETECTED_REASONING_FLAW,Step 3,UNRECOVERED,0
nat_rec_01135,math500_078,14,SELF_DETECTED_REASONING_FLAW,Step 1,RECOVERED,1
nat_rec_01147,math500_079,10,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_01155,math500_081,2,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_01157,math500_081,4,ARITHMETIC_MISCALCULATION,Step 4,RECOVERED,1
nat_rec_01158,math500_081,5,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_01167,math500_081,14,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,RECOVERED,1
nat_rec_01175,math500_083,6,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_01176,math500_083,7,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_01198,math500_084,13,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,RECOVERED,1
nat_rec_01201,math500_085,0,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_01204,math500_085,3,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,UNRECOVERED,0
nat_rec_01234,math500_088,1,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_01237,math500_088,4,SYMBOLIC_SUBSTITUTION_ERROR,Step 4,RECOVERED,1
nat_rec_01239,math500_088,6,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,RECOVERED,1
nat_rec_01253,math500_089,4,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_01254,math500_089,5,SELF_DETECTED_REASONING_FLAW,Step 3,RECOVERED,1
nat_rec_01257,math500_089,8,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_01258,math500_089,9,ARITHMETIC_MISCALCULATION,Step 3,RECOVERED,1
nat_rec_01262,math500_089,13,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_01269,math500_090,4,ARITHMETIC_MISCALCULATION,Step 2,RECOVERED,1
nat_rec_01272,math500_090,7,SELF_DETECTED_REASONING_FLAW,Step 4,RECOVERED,1
nat_rec_01274,math500_090,9,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_01276,math500_090,11,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_01284,math500_092,3,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,UNRECOVERED,0
nat_rec_01285,math500_092,4,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_01294,math500_092,13,SELF_DETECTED_REASONING_FLAW,Step 1,UNRECOVERED,0
nat_rec_01295,math500_092,14,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_01303,math500_093,6,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_01323,math500_094,10,ARITHMETIC_MISCALCULATION,Step 3,RECOVERED,1
nat_rec_01341,math500_095,12,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_01343,math500_095,14,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,UNRECOVERED,0
nat_rec_01345,math500_096,0,ARITHMETIC_MISCALCULATION,Step 2,UNRECOVERED,0
nat_rec_01348,math500_096,3,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_01354,math500_096,9,SYMBOLIC_SUBSTITUTION_ERROR,Step 1,UNRECOVERED,0
nat_rec_01357,math500_096,12,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_01358,math500_096,13,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_01364,math500_097,3,SELF_DETECTED_REASONING_FLAW,Step 3,RECOVERED,1
nat_rec_01370,math500_097,9,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,RECOVERED,1
nat_rec_01376,math500_097,15,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_01377,math500_098,0,SELF_DETECTED_REASONING_FLAW,Step 4,UNRECOVERED,0
nat_rec_01398,math500_099,5,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_01402,math500_099,9,ARITHMETIC_MISCALCULATION,Step 2,RECOVERED,1
nat_rec_01441,math500_102,0,ARITHMETIC_MISCALCULATION,Step 4,UNRECOVERED,0
nat_rec_01469,math500_103,12,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_01483,math500_104,10,ARITHMETIC_MISCALCULATION,Step 1,UNRECOVERED,0
nat_rec_01484,math500_104,11,SELF_DETECTED_REASONING_FLAW,Step 2,RECOVERED,1
nat_rec_01490,math500_105,1,ARITHMETIC_MISCALCULATION,Step 3,UNRECOVERED,0
nat_rec_01492,math500_105,3,SELF_DETECTED_REASONING_FLAW,Step 2,UNRECOVERED,0
nat_rec_01494,math500_105,5,SYMBOLIC_SUBSTITUTION_ERROR,Step 2,UNRECOVERED,0
nat_rec_01502,math500_105,13,SYMBOLIC_SUBSTITUTION_ERROR,Step 3,RECOVERED,1
