rollout_id,problem_id,rollout_k,error_type,tokens_to_recovery,final_answer_correct
nat_rec_01358,math500_096,13,SELF_DETECTED_REASONING_FLAW,59,1
nat_rec_01364,math500_097,3,SELF_DETECTED_REASONING_FLAW,46,1
nat_rec_01370,math500_097,9,SYMBOLIC_SUBSTITUTION_ERROR,155,1
nat_rec_01402,math500_099,9,ARITHMETIC_MISCALCULATION,107,1
nat_rec_01484,math500_104,11,SELF_DETECTED_REASONING_FLAW,111,1
nat_rec_01502,math500_105,13,SYMBOLIC_SUBSTITUTION_ERROR,150,1
nat_rec_01515,math500_106,10,ARITHMETIC_MISCALCULATION,133,1
nat_rec_01549,math500_108,12,ARITHMETIC_MISCALCULATION,61,1
nat_rec_01594,math500_112,9,ARITHMETIC_MISCALCULATION,60,1
nat_rec_01603,math500_113,2,SYMBOLIC_SUBSTITUTION_ERROR,84,1
nat_rec_01650,math500_117,1,SELF_DETECTED_REASONING_FLAW,85,1
nat_rec_01667,math500_118,2,SELF_DETECTED_REASONING_FLAW,99,1
nat_rec_01679,math500_118,14,SELF_DETECTED_REASONING_FLAW,176,1
nat_rec_01681,math500_119,0,SYMBOLIC_SUBSTITUTION_ERROR,80,1
nat_rec_01745,math500_125,0,SELF_DETECTED_REASONING_FLAW,43,1
nat_rec_01755,math500_125,10,ARITHMETIC_MISCALCULATION,151,1
nat_rec_01786,math500_127,9,ARITHMETIC_MISCALCULATION,151,1
nat_rec_01793,math500_128,0,SYMBOLIC_SUBSTITUTION_ERROR,83,1
nat_rec_01811,math500_129,2,ARITHMETIC_MISCALCULATION,88,1
nat_rec_01812,math500_129,3,SYMBOLIC_SUBSTITUTION_ERROR,82,1
nat_rec_01813,math500_129,4,SYMBOLIC_SUBSTITUTION_ERROR,149,1
nat_rec_01844,math500_131,3,SELF_DETECTED_REASONING_FLAW,108,1
nat_rec_01885,math500_133,12,SYMBOLIC_SUBSTITUTION_ERROR,68,1
nat_rec_01895,math500_134,6,ARITHMETIC_MISCALCULATION,144,1
nat_rec_01919,math500_135,14,ARITHMETIC_MISCALCULATION,67,1
nat_rec_01937,math500_137,0,ARITHMETIC_MISCALCULATION,140,1
nat_rec_01941,math500_137,4,ARITHMETIC_MISCALCULATION,43,1
nat_rec_01946,math500_137,9,SELF_DETECTED_REASONING_FLAW,93,1
nat_rec_01950,math500_137,13,SYMBOLIC_SUBSTITUTION_ERROR,109,1
nat_rec_01954,math500_138,1,SYMBOLIC_SUBSTITUTION_ERROR,159,1
nat_rec_01975,math500_139,6,ARITHMETIC_MISCALCULATION,49,1
nat_rec_02001,math500_141,0,SYMBOLIC_SUBSTITUTION_ERROR,92,1
nat_rec_02004,math500_141,3,SELF_DETECTED_REASONING_FLAW,153,1
nat_rec_02027,math500_142,10,ARITHMETIC_MISCALCULATION,50,1
nat_rec_02060,math500_144,11,SYMBOLIC_SUBSTITUTION_ERROR,176,1
nat_rec_02066,math500_145,1,SYMBOLIC_SUBSTITUTION_ERROR,111,1
nat_rec_02104,math500_147,7,SYMBOLIC_SUBSTITUTION_ERROR,63,1
nat_rec_02135,math500_149,6,SYMBOLIC_SUBSTITUTION_ERROR,75,1
nat_rec_02148,math500_150,3,SELF_DETECTED_REASONING_FLAW,85,1
nat_rec_02172,math500_151,11,ARITHMETIC_MISCALCULATION,116,1
nat_rec_02184,math500_152,7,SELF_DETECTED_REASONING_FLAW,70,1
nat_rec_02193,math500_153,0,SYMBOLIC_SUBSTITUTION_ERROR,120,1
nat_rec_02206,math500_153,13,ARITHMETIC_MISCALCULATION,73,1
nat_rec_02231,math500_156,6,ARITHMETIC_MISCALCULATION,141,1
nat_rec_02237,math500_156,12,ARITHMETIC_MISCALCULATION,150,1
nat_rec_02238,math500_156,13,SELF_DETECTED_REASONING_FLAW,133,1
nat_rec_02267,math500_158,10,SELF_DETECTED_REASONING_FLAW,75,1
nat_rec_02269,math500_158,12,ARITHMETIC_MISCALCULATION,80,1
nat_rec_02270,math500_158,13,SYMBOLIC_SUBSTITUTION_ERROR,172,1
nat_rec_02303,math500_160,14,ARITHMETIC_MISCALCULATION,90,1
nat_rec_02335,math500_162,14,ARITHMETIC_MISCALCULATION,61,1
nat_rec_02346,math500_163,9,SELF_DETECTED_REASONING_FLAW,140,1
nat_rec_02358,math500_164,5,SYMBOLIC_SUBSTITUTION_ERROR,54,1
nat_rec_02364,math500_164,11,ARITHMETIC_MISCALCULATION,70,1
nat_rec_02377,math500_165,8,SYMBOLIC_SUBSTITUTION_ERROR,113,1
nat_rec_02379,math500_165,10,ARITHMETIC_MISCALCULATION,89,1
nat_rec_02380,math500_165,11,SELF_DETECTED_REASONING_FLAW,94,1
nat_rec_02386,math500_167,1,SELF_DETECTED_REASONING_FLAW,145,1
nat_rec_02445,math500_170,12,SYMBOLIC_SUBSTITUTION_ERROR,94,1
nat_rec_02490,math500_173,9,ARITHMETIC_MISCALCULATION,87,1
nat_rec_02496,math500_173,15,ARITHMETIC_MISCALCULATION,92,1
nat_rec_02561,math500_179,0,SYMBOLIC_SUBSTITUTION_ERROR,135,1
nat_rec_02604,math500_181,11,SYMBOLIC_SUBSTITUTION_ERROR,154,1
nat_rec_02711,math500_189,6,SYMBOLIC_SUBSTITUTION_ERROR,41,1
nat_rec_02716,math500_189,11,SYMBOLIC_SUBSTITUTION_ERROR,99,1
nat_rec_02737,math500_191,0,SELF_DETECTED_REASONING_FLAW,105,1
nat_rec_02743,math500_191,6,SYMBOLIC_SUBSTITUTION_ERROR,62,1
nat_rec_02757,math500_192,4,ARITHMETIC_MISCALCULATION,81,1
nat_rec_02762,math500_192,9,SELF_DETECTED_REASONING_FLAW,143,1
nat_rec_02789,math500_195,4,SELF_DETECTED_REASONING_FLAW,42,1
nat_rec_02812,math500_197,11,SYMBOLIC_SUBSTITUTION_ERROR,133,1
nat_rec_02813,math500_197,12,ARITHMETIC_MISCALCULATION,70,1
nat_rec_02814,math500_197,13,SYMBOLIC_SUBSTITUTION_ERROR,162,1
nat_rec_02818,math500_198,1,SELF_DETECTED_REASONING_FLAW,112,1
nat_rec_02825,math500_198,8,SELF_DETECTED_REASONING_FLAW,131,1
nat_rec_02829,math500_198,12,SYMBOLIC_SUBSTITUTION_ERROR,92,1
nat_rec_02851,math500_200,2,SELF_DETECTED_REASONING_FLAW,44,1
nat_rec_02858,math500_200,9,SYMBOLIC_SUBSTITUTION_ERROR,162,1
nat_rec_02859,math500_200,10,ARITHMETIC_MISCALCULATION,135,1
nat_rec_02902,math500_203,5,SYMBOLIC_SUBSTITUTION_ERROR,166,1
nat_rec_02906,math500_203,9,SYMBOLIC_SUBSTITUTION_ERROR,50,1
nat_rec_02926,math500_204,13,SELF_DETECTED_REASONING_FLAW,93,1
nat_rec_02950,math500_206,5,SYMBOLIC_SUBSTITUTION_ERROR,141,1
nat_rec_02985,math500_208,8,ARITHMETIC_MISCALCULATION,119,1
nat_rec_03007,math500_209,14,ARITHMETIC_MISCALCULATION,174,1
nat_rec_03029,math500_211,4,SELF_DETECTED_REASONING_FLAW,53,1
nat_rec_03030,math500_211,5,ARITHMETIC_MISCALCULATION,99,1
nat_rec_03034,math500_211,9,ARITHMETIC_MISCALCULATION,116,1
nat_rec_03043,math500_212,2,ARITHMETIC_MISCALCULATION,166,1
nat_rec_03064,math500_213,7,SYMBOLIC_SUBSTITUTION_ERROR,150,1
nat_rec_03076,math500_214,3,SELF_DETECTED_REASONING_FLAW,128,1
nat_rec_03088,math500_214,15,SELF_DETECTED_REASONING_FLAW,147,1
nat_rec_03094,math500_215,5,SYMBOLIC_SUBSTITUTION_ERROR,105,1
nat_rec_03103,math500_215,14,ARITHMETIC_MISCALCULATION,100,1
nat_rec_03104,math500_215,15,ARITHMETIC_MISCALCULATION,68,1
nat_rec_03109,math500_216,4,SYMBOLIC_SUBSTITUTION_ERROR,45,1
nat_rec_03123,math500_217,2,ARITHMETIC_MISCALCULATION,115,1
nat_rec_03154,math500_219,1,SYMBOLIC_SUBSTITUTION_ERROR,81,1
nat_rec_03162,math500_219,9,SELF_DETECTED_REASONING_FLAW,65,1
nat_rec_03195,math500_221,10,SELF_DETECTED_REASONING_FLAW,69,1
